"lon","lat","medv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
-71.2435,42.163,17.6,0.20608,22,5.86,"0",0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
-71.048,42.2105,50,4.89822,0,18.1,"0",0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26
-71.0445,42.1938,8.4,13.6781,0,18.1,"0",0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
-71.0477,42.1965,7.5,10.8342,0,18.1,"0",0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
-71.121,42.2166,21.7,0.40771,0,6.2,"1",0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46
-71.032,42.2057,5,67.9208,0,18.1,"0",0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98
-71.051,42.2205,11.8,2.77974,0,19.58,"0",0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29
-71.195,42.0675,20.1,0.01965,80,1.76,"0",0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93
-71.0555,42.2222,14.6,2.36862,0,19.58,"0",0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53
-71.077,42.225,50,1.83377,0,19.58,"1",0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92
-70.8525,42.03,20.6,0.10659,80,1.91,"0",0.413,5.936,19.5,10.5857,4,334,22,376.04,5.57
-71.07,42.2214,27,1.27346,0,19.58,"1",0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5
-71.045,42.345,23.5,0.03584,80,3.37,"0",0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67
-71.055,42.183,13.8,8.05579,0,18.1,"0",0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
-71.11,42.206,44.8,0.31533,0,6.2,"0",0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14
-71.036,42.2608,21.2,0.13158,0,10.01,"0",0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04
-71.046,42.1867,13.4,11.1604,0,18.1,"0",0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
-71.0358,42.1675,20.2,5.82115,0,18.1,"0",0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
-71.095,42.212,21.7,3.8497,0,18.1,"1",0.77,6.395,91,2.5052,24,666,20.2,391.34,13.27
-71.041,42.1795,15.2,5.44114,0,18.1,"0",0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
-70.9895,42.1265,25,0.34109,0,7.38,"0",0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12
-70.9675,42.317,21.2,0.12269,0,6.91,"0",0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55
