vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Very likely,29,19,City & Guilds certificate,Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Never married,D,Yorkshire and the Humber,Green,I voted to Remain,Professional
Very likely,53,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"under £5,000 per year",Don't know,Never married,E,London,Conservative,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,B,West Midlands,Liberal Democrat,I voted to Remain,Level-3
Very likely,33,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£35,000 to £39,999 per year",Divorced,B,South East,Labour,I voted to Remain,Level-3
Very likely,73,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,A,North West,Conservative,I voted to Leave,Level-1
Very likely,75,16,City & Guilds certificate,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Widowed,C1,South West,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,17-18,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,"£25,000 to £29,999 per year","£5,000 to £9,999 per year",Living as married,D,Wales,Conservative,I voted to Remain,Level-3
Fairly likely,42,16,No formal qualifications,Female,"£10,000 to £14,999 per year","under £5,000 per year",Married,E,West Midlands,NA,I did not vote,Level-0
Very likely,55,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,B,East of England,Conservative,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,79,20,"Other technical, professional or higher qualification",Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Widowed,B,South West,Conservative,I voted to Leave,Other
Very likely,58,17-18,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Married,D,North West,Conservative,I voted to Remain,Professional
Very likely,35,20,University diploma,Male,Don't know,"£35,000 to £39,999 per year",Never married,B,South West,Liberal Democrat,I voted to Remain,Level-3
Very likely,63,16,No formal qualifications,Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,C2,Wales,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,15 or under,Clerical and commercial,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,C1,West Midlands,Conservative,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,50,16,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£15,000 to £19,999 per year","under £5,000 per year",Married,E,Wales,Liberal Democrat,I voted to Leave,Level-4
Very likely,36,19,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Divorced,C1,Wales,Conservative,I voted to Remain,Professional
Very likely,26,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Living as married,D,Scotland,NA,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,B,South West,Conservative,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,20,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Married,C1,South West,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Don’t know,39,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Married,D,East Midlands,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,D,Scotland,Scottish National Party (SNP),I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Don't know,Prefer not to answer,Widowed,C1,South East,Conservative,I voted to Remain,Level-1
Very likely,44,16,Clerical and commercial,Female,Don't know,"under £5,000 per year",Married,C1,East Midlands,Labour,I voted to Remain,Professional
Very likely,68,19,University diploma,Female,"£20,000 to £24,999 per year","£25,000 to £29,999 per year",Never married,B,South West,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Widowed,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,77,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Widowed,C1,North West,Conservative,I voted to Leave,Level-1
Fairly unlikely,23,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Don't know,"£10,000 to £14,999 per year",Never married,D,North West,Labour,I voted to Leave,Level-3
Very likely,47,16,GCE A level or Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Divorced,E,East Midlands,Labour,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,19,"Other technical, professional or higher qualification",Female,"£20,000 to £24,999 per year","£5,000 to £9,999 per year",Living as married,C2,East Midlands,Conservative,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,40,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Never married,C2,South East,Labour,I voted to Leave,Level-3
Fairly likely,31,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£30,000 to £34,999 per year",Married,B,South West,Conservative,I did not vote,Level-3
Very likely,49,17-18,GCE A level or Higher Certificate,Female,"£60,000 to £69,999 per year",Prefer not to answer,Married,B,South West,Labour,I voted to Remain,Level-2
Fairly likely,56,19,GCE A level or Higher Certificate,Female,"£25,000 to £29,999 per year",Don't know,Married,C2,London,Liberal Democrat,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,30,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£30,000 to £34,999 per year",Married,C1,South East,Labour,I voted to Remain,Level-3
Very likely,47,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Married,A,South East,Labour,I voted to Remain,Level-1
Very likely,70,19,Recognised trade apprenticeship completed,Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Living as married,E,West Midlands,Conservative,I voted to Leave,Professional
Very likely,29,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","under £5,000 per year",Living as married,C2,Yorkshire and the Humber,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Married,A,North West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,17-18,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£25,000 to £29,999 per year",Living as married,B,Yorkshire and the Humber,Labour,I voted to Leave,Level-2
Very likely,71,15 or under,City & Guilds certificate,Male,Don't know,"£10,000 to £14,999 per year",Never married,E,East Midlands,Conservative,Can’t remember,Professional
Very likely,36,16,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Never married,E,South East,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£70,000 to £99,999 per year","£20,000 to £24,999 per year",Married,C2,North East,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,28,15 or under,Don't know,Male,Prefer not to answer,Prefer not to answer,Never married,E,Scotland,NA,I did not vote,Other
Very likely,60,20,"Other technical, professional or higher qualification",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C1,Wales,Plaid Cymru,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,15 or under,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Male,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Married,B,North West,Brexit Party,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,16,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Married,C2,London,Labour,I voted to Leave,Level-2
Very likely,46,19,GCE A level or Higher Certificate,Male,Prefer not to answer,"£25,000 to £29,999 per year",Living as married,D,South East,Conservative,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,64,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,A,West Midlands,Don't know,I voted to Remain,Level-3
Very likely,25,20,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Never married,C2,East of England,Conservative,I voted to Leave,Other
Very likely,62,16,No formal qualifications,Female,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Married,E,East Midlands,NA,I did not vote,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,46,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£100,000 to £149,999 per year","£100,000 and over",Living as married,C1,South East,Conservative,I voted to Remain,Level-4
Very likely,31,17-18,Don't know,Female,Prefer not to answer,Prefer not to answer,Civil Partnership,C1,South East,NA,I did not vote,Other
Very likely,78,17-18,"Other technical, professional or higher qualification",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,C1,West Midlands,NA,I voted to Remain,Other
Very likely,46,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,D,Wales,Liberal Democrat,I voted to Remain,Level-1
Fairly unlikely,48,17-18,City & Guilds certificate - advanced,Male,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Never married,C1,South West,NA,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Married,A,North West,Labour,I voted to Remain,Level-3
Very likely,69,20,University diploma,Male,Prefer not to answer,Prefer not to answer,Married,B,North West,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,15 or under,No formal qualifications,Male,Prefer not to answer,"£10,000 to £14,999 per year",Divorced,C1,West Midlands,Labour,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,19,"Other technical, professional or higher qualification",Female,"£100,000 to £149,999 per year","£50,000 to £59,999 per year",Living as married,B,East of England,Labour,I voted to Remain,Other
Very likely,69,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£70,000 to £99,999 per year","£15,000 to £19,999 per year",Married,C1,North West,Brexit Party,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,64,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,B,East of England,Conservative,Can’t remember,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,49,20,University diploma,Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C2,London,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,20,University diploma,Female,Prefer not to answer,Prefer not to answer,Married,E,West Midlands,Labour,I voted to Remain,Level-3
Very likely,70,16,City & Guilds certificate,Male,"£25,000 to £29,999 per year",Prefer not to answer,Married,C1,North West,Conservative,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,South East,Conservative,I voted to Leave,Level-1
Very likely,71,16,CSE grades 2-5,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,South East,NA,I did not vote,Level-1
Very likely,61,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£40,000 to £44,999 per year",Married,D,Yorkshire and the Humber,Liberal Democrat,I voted to Remain,Level-3
Very likely,68,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Divorced,B,West Midlands,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,NA,City & Guilds certificate - advanced,Female,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,E,South East,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,20,University diploma,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,C2,South West,Conservative,I voted to Leave,Level-3
Very likely,47,17-18,GCE A level or Higher Certificate,Female,"under £5,000 per year","under £5,000 per year",Never married,E,North West,Labour,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Divorced,B,South West,Labour,I voted to Remain,Level-4
Very likely,66,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Widowed,E,North West,Conservative,I voted to Leave,Level-1
Very likely,54,16,University diploma,Male,"£60,000 to £69,999 per year","£25,000 to £29,999 per year",Married,C1,South East,Labour,I voted to Remain,Level-3
Fairly unlikely,64,16,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,Prefer not to answer,Prefer not to answer,Married,C1,South West,Conservative,I voted to Leave,Level-3
Fairly likely,29,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Living as married,B,South East,Liberal Democrat,I voted to Remain,Level-4
Fairly likely,27,16,Recognised trade apprenticeship completed,Female,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Never married,C1,London,Labour,I voted to Remain,Professional
Very likely,27,NA,University diploma,Female,Prefer not to answer,NA,Living as married,D,South East,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,Scottish Higher Certificate,Female,"£70,000 to £99,999 per year",Don't know,Married,C1,Scotland,Scottish National Party (SNP),I voted to Leave,Level-2
Very likely,66,16,"Other technical, professional or higher qualification",Female,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Divorced,C1,East of England,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,20,University diploma,Male,"£30,000 to £34,999 per year","£20,000 to £24,999 per year",Married,C1,East Midlands,Green,I voted to Remain,Level-3
Very likely,66,16,CSE grades 2-5,Male,"£25,000 to £29,999 per year",Prefer not to answer,Living as married,C2,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,20,"Other technical, professional or higher qualification",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,North West,Don't know,Can’t remember,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,D,West Midlands,Liberal Democrat,I voted to Remain,Level-3
Very likely,56,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£60,000 to £69,999 per year","£60,000 to £69,999 per year",Never married,C2,Scotland,Scottish National Party (SNP),I voted to Leave,Level-1
Very likely,61,17-18,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,Prefer not to answer,Prefer not to answer,Married,A,North West,NA,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,20,Teaching qualification (not degree),Female,"£20,000 to £24,999 per year","£5,000 to £9,999 per year",Married,C2,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,17-18,University diploma,Male,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Married,C1,North West,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,16,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Married,D,North East,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Widowed,C1,South West,Don't know,I voted to Leave,Level-3
Very likely,74,20,"Other technical, professional or higher qualification",Male,"£20,000 to £24,999 per year",Prefer not to answer,Married,C1,South West,Other,I voted to Remain,Other
Very unlikely,33,17-18,Scottish Higher Certificate,Female,"£40,000 to £44,999 per year","£20,000 to £24,999 per year",Married,C2,West Midlands,NA,I voted to Leave,Level-2
Fairly likely,67,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,London,Labour,I voted to Leave,Level-1
Very likely,72,15 or under,University diploma,Female,"£10,000 to £14,999 per year",Prefer not to answer,Married,B,North West,Brexit Party,I voted to Leave,Level-3
Very likely,50,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£100,000 to £149,999 per year","£100,000 and over",Married,A,South East,Other,I voted to Leave,Level-4
Very likely,31,17-18,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","under £5,000 per year",Living as married,C1,East of England,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,B,South East,Conservative,I voted to Remain,Level-1
Very likely,45,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£60,000 to £69,999 per year",Married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-3
Very likely,71,20,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Other
Very likely,51,19,City & Guilds certificate,Male,"£45,000 to £49,999 per year","£20,000 to £24,999 per year",Married,C1,East of England,Labour,I voted to Remain,Professional
Very likely,74,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Married,A,South East,Liberal Democrat,I voted to Remain,Level-3
Very likely,70,Can't remember,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Divorced,E,Yorkshire and the Humber,Don't know,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,17-18,Clerical and commercial,Female,"£20,000 to £24,999 per year","under £5,000 per year",Married,D,East Midlands,NA,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,16,City & Guilds certificate,Female,"£5,000 to £9,999 per year","£10,000 to £14,999 per year",Widowed,E,West Midlands,Conservative,I voted to Leave,Professional
Very likely,70,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year","£30,000 to £34,999 per year",Never married,B,London,Labour,I voted to Leave,Level-3
Very unlikely,47,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,"under £5,000 per year",Never married,A,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,City & Guilds certificate - advanced,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,C1,London,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,22,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£45,000 to £49,999 per year","under £5,000 per year",Never married,C2,London,NA,I did not vote,Level-1
Fairly likely,34,20,Scottish Higher Certificate,Male,Prefer not to answer,"£30,000 to £34,999 per year",Married,C2,Scotland,Scottish National Party (SNP),I voted to Leave,Level-2
Very likely,41,15 or under,Don't know,Male,Prefer not to answer,Prefer not to answer,Never married,C1,Yorkshire and the Humber,NA,I voted to Leave,Other
Very likely,40,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£35,000 to £39,999 per year","£10,000 to £14,999 per year",Married,B,South West,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year",Prefer not to answer,Married,B,London,Green,I voted to Remain,Level-4
Very likely,52,17-18,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,Prefer not to answer,Prefer not to answer,Never married,D,South West,Conservative,I voted to Leave,Level-3
Fairly likely,54,20,GCE A level or Higher Certificate,Male,Prefer not to answer,Prefer not to answer,Never married,C1,London,Liberal Democrat,I voted to Remain,Level-2
Very likely,33,17-18,Scottish Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Married,C1,Scotland,NA,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,19,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Living as married,C1,Wales,Labour,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,17-18,GCE A level or Higher Certificate,Male,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,B,South East,Green,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,E,North West,Liberal Democrat,I did not vote,Level-3
Very likely,51,17-18,"Other technical, professional or higher qualification",Female,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Married,C1,South East,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Widowed,C1,Yorkshire and the Humber,Conservative,I voted to Remain,Level-3
Very likely,41,17-18,Scottish Higher Certificate,Male,"£100,000 to £149,999 per year","£25,000 to £29,999 per year",Married,C2,Scotland,Labour,I voted to Remain,Level-2
Very likely,58,17-18,GCE A level or Higher Certificate,Female,"£15,000 to £19,999 per year",Prefer not to answer,Married,D,East Midlands,Conservative,I voted to Leave,Level-2
Very likely,79,16,Don't know,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,E,South East,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,16,Teaching qualification (not degree),Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Married,C2,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,20,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Married,B,East Midlands,Labour,I voted to Remain,Other
Very likely,47,17-18,City & Guilds certificate,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,C2,East Midlands,Conservative,I voted to Leave,Professional
Very likely,59,16,City & Guilds certificate - advanced,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C1,Yorkshire and the Humber,Other,I voted to Leave,Professional
Very likely,76,15 or under,City & Guilds certificate - advanced,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,C1,Scotland,Conservative,I voted to Leave,Professional
Don’t know,28,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Never married,D,Yorkshire and the Humber,NA,I did not vote,Level-3
Very likely,46,16,Recognised trade apprenticeship completed,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Separated (after being married),D,Yorkshire and the Humber,Conservative,I voted to Leave,Professional
Very likely,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Living as married,C2,Scotland,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,23,Still at school/Full time student,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Never married,A,South East,Labour,I voted to Remain,Level-3
Very likely,41,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£30,000 to £34,999 per year","£20,000 to £24,999 per year",Never married,A,North West,Labour,I voted to Remain,Level-4
Fairly likely,44,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"under £5,000 per year","under £5,000 per year",Never married,C1,Scotland,Green,I voted to Remain,Level-4
Very likely,38,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Never married,C1,South West,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,15 or under,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C1,Wales,Conservative,I voted to Leave,Level-3
Fairly likely,73,16,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Divorced,B,Yorkshire and the Humber,NA,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,17-18,CSE grades 2-5,Male,"£35,000 to £39,999 per year","£10,000 to £14,999 per year",Living as married,C1,Yorkshire and the Humber,Conservative,I voted to Remain,Level-1
Very likely,49,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,C1,South West,Don't know,I voted to Remain,Level-3
Very likely,68,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,B,West Midlands,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","under £5,000 per year",Married,A,South East,Liberal Democrat,I voted to Remain,Level-3
Very likely,57,17-18,GCE A level or Higher Certificate,Male,"£100,000 to £149,999 per year","£100,000 and over",Married,B,East of England,Conservative,I voted to Leave,Level-2
Very likely,70,16,Scottish Ordinary/ Lower Certificate,Female,Prefer not to answer,Prefer not to answer,Widowed,C1,Scotland,Scottish National Party (SNP),I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,56,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£50,000 to £59,999 per year","£45,000 to £49,999 per year",Married,B,North West,Other,I voted to Remain,Level-4
Very likely,20,Still at school/Full time student,GCE A level or Higher Certificate,Female,Don't know,Don't know,Divorced,C1,London,Labour,I did not vote,Level-2
