title,year,binary,budget_2013,domgross_2013,gross_millions,log_gross
Red,2010,FAIL,64093910,96546967,96.546967,4.570029594605854
Remember Me,2010,PASS,17091709,20369301,20.369301,3.0140289144805688
Repo Men,2010,PASS,34183419,14893296,14.893296,2.7009111788153346
Robin Hood,2010,FAIL,224328687,112684730,112.68473,4.724593919407946
Salt,2010,PASS,138870139,126383971,126.383971,4.839324661962611
Scott Pilgrim vs. the World,2010,PASS,90799707,33768214,33.768214,3.5195199458209316
Secretariat,2010,PASS,37388114,63772921,63.772921,4.155328664515725
Sex and the city 2,2010,PASS,101482025,101853441,101.853441,4.623534927080024
Shrek Forever After,2010,FAIL,176258254,255026238,255.026238,5.541366433982836
Shutter Island,2010,FAIL,85458547,136747492,136.747492,4.918136101097347
Skyline,2010,FAIL,10682318,22877632,22.877632,3.130159664651968
Somewhere,2010,FAIL,7477623,1907483,1.907483,0.6457845719480325
Submarine,2010,FAIL,2029641,499507,0.499507,-0.6941336669777103
Super,2010,FAIL,2670580,350077,0.350077,-1.0496021486951288
Takers,2010,FAIL,34183419,61684749,61.684749,4.1220367204546
Tangled,2010,PASS,277740279,214524387,214.524387,5.368423424213283
The A-Team,2010,FAIL,117505503,82491105,82.491105,4.412690469346019
The Back-up Plan,2010,PASS,37388114,40048019,40.048019,3.6900792091199888
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PASS,165575935,111509464,111.509464,4.714109466221928
The Conspirator,2010,FAIL,26705796,12325477,12.325477,2.511668421005415
The Crazies,2010,PASS,20296405,41793064,41.793064,3.7327303927479507
The Debt,2010,PASS,21364637,33304850,33.30485,3.5057030320267466
The Expendables,2010,FAIL,87595011,110101079,110.101079,4.701398843862266
The Fighter,2010,FAIL,11750550,100004670,100.00467,4.60521688489768
The Ghost Writer,2010,FAIL,48070433,16601978,16.601978,2.8095218448904165
The Illusionist,2010,FAIL,17625825,42588953,42.588953,3.751594900397448
The Karate Kid,2010,FAIL,42729274,188640789,188.640789,5.239844619350288
The Kids Are All Right,2010,PASS,4272927,22231363,22.231363,3.101504039636768
The Killer Inside Me,2010,FAIL,13887014,232102,0.232102,-1.46057834876343
The King's Speech,2010,PASS,16023478,148267855,148.267855,4.9990204690742734
The Last Airbender,2010,FAIL,160234776,140763246,140.763246,4.947079372716054
The Last Exorcism,2010,PASS,1922817,43834199,43.834199,3.780414311804129
The Losers,2010,FAIL,26705796,25201119,25.201119,3.2268883982934202
The Next Three Days,2010,PASS,32046955,22591662,22.591662,3.1175809001507555
The Other Guys,2010,FAIL,106823184,127354577,127.354577,4.846975141101575
The Runaways,2010,PASS,10148202,3817511,3.817511,1.3395986395734276
The Social Network,2010,FAIL,42729274,103578637,103.578637,4.640331101998179
The Sorcerer's Apprentice,2010,FAIL,170917095,67459899,67.459899,4.211533332448867
The Spy Next Door,2010,PASS,29910492,25965625,25.965625,3.256773547871209
The Switch,2010,FAIL,20296405,29652476,29.652476,3.3895456295457027
The Tempest,2010,PASS,21364637,296908,0.296908,-1.2143329524760755
The Tourist,2010,FAIL,106823184,72245755,72.245755,4.2800735709411795
The Town,2010,FAIL,39524578,98476300,98.4763,4.589815910089965
The Twilight Saga: Eclipse,2010,PASS,72639765,321037586,321.037586,5.771558206618156
The Wolfman,2010,FAIL,160234776,66433214,66.433214,4.1961971422620215
Tiny Furniture,2010,PASS,53412,418399,0.418399,-0.8713197562916414
Toy Story 3,2010,FAIL,213646368,443321427,443.32142700000003,6.094295075796073
Tron Legacy,2010,FAIL,213646368,183802922,183.802922,5.213864107510127
True Grit,2010,PASS,37388114,182927231,182.927231,5.2090884289510155
Tucker and Dale vs Evil,2010,PASS,5341159,239111,0.239111,-1.4308273997208043
Unstoppable,2010,FAIL,101482025,87128132,87.128132,4.467379816784633
Valentine's Day,2010,PASS,55548056,118024294,118.024294,4.7708904846309395
Wall Street: Money Never Sleeps,2010,FAIL,74776229,56055056,56.055056,4.026334350623879
Welcome to the Rileys,2010,PASS,10682318,163287,0.163287,-1.8122458902578917
Wild Target,2010,FAIL,8545855,116798,0.116798,-2.147309332022287
Winter's Bone,2010,PASS,2136464,6977159,6.977159,1.9426418138618278
Yogi Bear,2010,FAIL,85458547,107085981,107.085981,4.673632072527484
You Again,2010,PASS,21364637,27455751,27.455751,3.3125756542084837
You Will Meet a Tall Dark Stranger,2010,PASS,16023478,3469420,3.46942,1.243987433014092
(500) Days of Summer,2009,FAIL,8142987,35168338,35.168338,3.5601461891850343
17 Again,2009,PASS,43429264,69668214,69.668214,4.243744173576367
2012,2009,FAIL,217146319,180353228,180.353228,5.194917305720006
9,2009,FAIL,32571948,34471863,34.471863,3.5401434260656766
A Perfect Getaway,2009,FAIL,15200242,16845625,16.845625,2.824090979168139
A Serious Man,2009,FAIL,7600121,10019987,10.019987,2.3045817982506875
A Single Man,2009,FAIL,7600121,9962673,9.962673,2.2988454090847585
Adam,2009,FAIL,3474341,2472641,2.472641,0.9052868101890388
Adventureland,2009,FAIL,10640170,17419505,17.419505,2.857590555406389
Agora,2009,FAIL,76001212,672527,0.672527,-0.3967130196131956
Ajami,2009,FAIL,1085732,675172,0.675172,-0.3927878057545733
All About Steve,2009,PASS,16285974,36766024,36.766024,3.6045741578374892
An Education,2009,PASS,8142987,13652981,13.652981,2.613957886066108
Angels & Demons,2009,FAIL,162859739,144810370,144.81037,4.97542509340941
Armored,2009,FAIL,21714632,17359628,17.359628,2.8541472804311803
Astro Boy,2009,FAIL,70572554,21227211,21.227211,3.0552838963834414
Avatar,2009,FAIL,461435929,825707158,825.707158,6.716240180393922
Away We Go,2009,PASS,22800364,10262276,10.262276,2.3284746475001383
Br&uuml;no,2009,FAIL,45600727,65203101,65.203101,4.177507029151295
Bride Wars,2009,PASS,32571948,63749284,63.749284,4.154957952602914
Bright Star,2009,PASS,9228719,4825683,4.825683,1.573952279177215
Brooklyn's Finest,2009,FAIL,18457437,29492371,29.492371,3.384131619730906
Brothers,2009,PASS,28229022,30991293,30.991293,3.4337062940657668
Capitalism: A Love Story,2009,FAIL,21714632,15594794,15.594794,2.746937140610547
Case 39,2009,PASS,29314753,14398811,14.398811,2.6671456337284662
Chloe,2009,FAIL,14114511,3338902,3.338902,1.2056420104259729
Cloudy with a Chance of Meatballs,2009,FAIL,108573160,135575603,135.575603,4.909529440439896
Coco avant Chanel,2009,PASS,24971827,6637983,6.637983,1.8928081522821505
Coraline,2009,PASS,65143896,81740638,81.740638,4.403551283341785
Daybreakers,2009,FAIL,21714632,32682233,32.682233,3.486831596910831
Dead Snow,2009,FAIL,868585,50749,0.050749,-2.9808633656878727
District 9,2009,FAIL,32571948,125560771,125.560771,4.8327898724455025
Drag Me to Hell,2009,PASS,32571948,45709979,45.709979,3.8223166329254767
Enter the Void,2009,FAIL,17371706,366974,0.366974,-1.0024642781238187
Everybody's Fine,2009,FAIL,21714632,9998368,9.998368,2.3024218796754767
Fantastic Mr. Fox,2009,FAIL,43429264,22803533,22.803533,3.1269154800962835
Fast & Furious,2009,FAIL,92287186,168358172,168.358172,5.126093686157514
Fired Up!,2009,FAIL,21714632,18708557,18.708557,2.928981012779413
Fish Tank,2009,PASS,3257195,406796,0.406796,-0.8994434476977662
Friday the 13th,2009,FAIL,18457437,70574746,70.574746,4.256672375124929
Funny People,2009,FAIL,78715541,56300661,56.300661,4.030706275751679
G-Force,2009,FAIL,162859739,129676275,129.676275,4.865041152462117
G.I. Joe: The Rise of Cobra,2009,FAIL,190003029,163078512,163.078512,5.094231753553281
Gamer,2009,FAIL,54286580,22295397,22.295397,3.1043802446040156
Get Low,2009,FAIL,7600121,9963686,9.963686,2.2989470834549603
Harry Brown,2009,FAIL,7925841,1974599,1.974599,0.6803653397634016
Harry Potter and the Half-Blood Prince,2009,PASS,271432899,327846641,327.846641,5.792545941118024
He's Just Not That Into You,2009,PASS,43429264,102008450,102.00845,4.6250556529902225
I Love You Phillip Morris,2009,FAIL,14114511,2212134,2.212134,0.7939576604871197
"I Love You, Man",2009,FAIL,43429264,77564677,77.564677,4.351112130258285
Ice Age: Dawn of the Dinosaurs,2009,FAIL,97715844,213426283,213.426283,5.363291494357743
Inglourious Basterds,2009,FAIL,76001212,131190089,131.190089,4.8766473324980755
Invictus,2009,FAIL,53200848,40705558,40.705558,3.706364643321615
It's Complicated,2009,PASS,92287186,122400359,122.400359,4.80729730308046
Jennifer's Body,2009,PASS,17371706,17594056,17.594056,2.86756111772868
Julie & Julia,2009,PASS,43429264,102194949,102.194949,4.626882253847675
Knowing,2009,FAIL,54286580,86812530,86.81253,4.463750966086857
Law Abiding Citizen,2009,FAIL,57543775,79646802,79.646802,4.377601884890865
Life During Wartime,2009,PASS,4885792,305576,0.305576,-1.1855567588051437
Micmacs (Micmacs &agrave; tire-larigot),2009,FAIL,45600727,1367688,1.367688,0.31312172301296254
Monsters vs Aliens,2009,FAIL,190003029,215356519,215.356519,5.372294882692743
Moon,2009,FAIL,5428658,5439692,5.439692,1.693722441617953
Mother and Child,2009,PASS,7600121,1205715,1.205715,0.18707275196943865
My Bloody Valentine 3D,2009,FAIL,15200242,55965069,55.965069,4.0247277282538985
My Sister's Keeper,2009,PASS,29857619,53418244,53.418244,3.978152335557856
Nine,2009,FAIL,86858528,21363903,21.363903,3.061702722118967
Ninja Assassin,2009,FAIL,54286580,41391219,41.391219,3.7230687568853
Nowhere Boy,2009,FAIL,2062890,1569280,1.56928,0.45061691544554544
Ondine,2009,PASS,13028779,597665,0.597665,-0.5147248826714226
Paa,2009,FAIL,4668646,216308,0.216308,-1.5310519610390232
Pandorum,2009,FAIL,43429264,11216534,11.216534,2.4173889397152357
Perrier's Bounty,2009,FAIL,7165829,899,8.99e-4,-7.014227523492654
Planet 51,2009,FAIL,65143896,45811424,45.811424,3.824533492331482
Precious: Based on the Novel Push by Sapphire,2009,PASS,10857316,51644478,51.644478,3.9443832779430954
Public Enemies,2009,FAIL,111287489,105429554,105.429554,4.658042995284928
Push,2009,PASS,41257801,34538780,34.53878,3.542082750728187
Sherlock Holmes,2009,FAIL,97715844,226949041,226.949041,5.424725503293194
Splice,2009,PASS,32571948,18468479,18.468479,2.9160654410638593
Star Trek,2009,PASS,152002424,279825625,279.825625,5.634166641311656
State of Play,2009,PASS,65143896,40191563,40.191563,3.6936570979761147
Surrogates,2009,FAIL,86858528,41885106,41.885106,3.7349302983414985
Terminator Salvation,2009,FAIL,217146319,136066564,136.066564,4.913144207175258
The Blind Side,2009,FAIL,38000606,277903289,277.903289,5.627273171870938
The Boat That Rocked,2009,FAIL,54286580,8704817,8.704817,2.1638765505982596
The Boondock Saints II: All Saints Day,2009,FAIL,8685853,11153924,11.153924,2.411791364245027
The Box,2009,PASS,27143290,16342407,16.342407,2.793763385804756
The City of Your Final Destination,2009,PASS,9011572,535587,0.535587,-0.6243919373043457
The Final Destination,2009,PASS,43429264,72176939,72.176939,4.279120590446188
The Fourth Kind,2009,PASS,10857316,28465896,28.465896,3.3487067391604133
The Girl with the Dragon Tattoo,2009,FAIL,97715844,111304636,111.304636,4.712270910603607
The Girlfriend Experience,2009,FAIL,1411451,755495,0.755495,-0.280382115424929
The Good Guy,2009,PASS,10857316,109320,0.10932,-2.2134759179222696
The Hangover,2009,FAIL,38000606,301097804,301.097804,5.707435142203038
The Imaginarium of Doctor Parnassus,2009,FAIL,32571948,8348849,8.348849,2.1221236850499867
The Informant!,2009,FAIL,23886095,36173125,36.173125,3.588316439798996
The Invention of Lying,2009,FAIL,20086035,20033106,20.033106,2.997386205054922
The Last Station,2009,PASS,19543169,7185227,7.185227,1.9720271126296942
The Lovely Bones,2009,PASS,103144502,47896216,47.896216,3.869036503384053
The Men Who Stare at Goats,2009,FAIL,26057558,35208316,35.208316,3.561282304701415
The Messenger,2009,FAIL,7057255,1204793,1.204793,0.18630776795365195
The Princess and the Frog,2009,PASS,114001818,113351355,113.351355,4.730492331006482
The Proposal,2009,FAIL,43429264,178014415,178.014415,5.181864530159195
The Road,2009,FAIL,27143290,8809919,8.809919,2.1758782458082058
The Secret of Kells,2009,FAIL,8685853,749470,0.74947,-0.2883889889250301
The Soloist,2009,FAIL,65143896,34439578,34.439578,3.5392064262904985
The Taking of Pelham 123,2009,FAIL,119430476,71063643,71.063643,4.2635758558141195
The Time Traveler's Wife,2009,FAIL,42343532,68851502,68.851502,4.23195204047774
The Ugly Truth,2009,FAIL,41257801,96538057,96.538057,4.569937303657321
The Unborn,2009,PASS,17371706,46328612,46.328612,3.835759739989922
The Young Victoria,2009,PASS,38000606,11944429,11.944429,2.480264977207406
Transformers: Revenge of the Fallen,2009,PASS,228003635,436585563,436.585563,6.078984376688682
Up,2009,FAIL,190003029,318123879,318.123879,5.762440863526477
Up in the Air,2009,FAIL,32571948,91009693,91.009693,4.510966017327888
Watchmen,2009,FAIL,149830960,116726786,116.726786,4.759836041660911
Whatever Works,2009,FAIL,16285974,5761658,5.761658,1.7512252805099586
Where the Wild Things Are,2009,FAIL,108573160,83854815,83.854815,4.429086910591902
Whip It,2009,PASS,16285974,14161591,14.161591,2.6505334407108636
Whiteout,2009,PASS,38000606,11156585,11.156585,2.4120299065402855
X-Men Origins: Wolverine,2009,FAIL,162859739,195304827,195.304827,5.274561553399015
Youth in Revolt,2009,FAIL,19543169,16596046,16.596046,2.80916447421901
Zombieland,2009,PASS,25623266,82070762,82.070762,4.407581826355432
21,2008,PASS,37878971,87835235,87.835235,4.475462729932821
Appaloosa,2008,FAIL,21645126,21873909,21.873909,3.0852945567142003
Australia,2008,FAIL,140693320,53630131,53.630131,3.9821110556545394
Baby Mama,2008,PASS,32467689,65470243,65.470243,4.181595734069757
Be Kind Rewind,2008,FAIL,21645126,12094392,12.094392,2.4927418740924
Bedtime Stories,2008,PASS,86580505,119158557,119.158557,4.780455018003379
Blindness,2008,PASS,27056408,3326198,3.326198,1.201829909966968
Bolt,2008,PASS,162338447,123435400,123.4354,4.815717942292496
Burn After Reading,2008,FAIL,40043484,65319955,65.319955,4.1792975791859215
Changeling,2008,PASS,59524097,38679626,38.679626,3.65531300145872
Che: Part One,2008,FAIL,62770866,317867,0.317867,-1.1461222226819932
City of Ember,2008,PASS,41125740,8519189,8.519189,2.142321148517152
Cloverfield,2008,PASS,27056408,86632922,86.632922,4.46167990498807
Death Race,2008,FAIL,70346660,39303255,39.303255,3.6713073398729428
Defiance,2008,PASS,54112816,31001030,31.00103,3.434020429739633
"Definitely, Maybe",2008,PASS,7575794,34893728,34.893728,3.5523070995909327
Doomsday,2008,PASS,35714458,11914311,11.914311,2.477740282609294
Doubt,2008,PASS,21645126,36197653,36.197653,3.588994282475751
Eagle Eye,2008,FAIL,86580505,109784884,109.784884,4.698522851110094
Easy Virtue,2008,PASS,15151588,2875321,2.875321,1.0561643201905868
Fireproof,2008,FAIL,541128,36208310,36.20831,3.5892886504983665
Fly Me to the Moon,2008,FAIL,27056408,15740274,15.740274,2.7562226507157597
Forgetting Sarah Marshall,2008,PASS,32467689,68368797,68.368797,4.224916536334306
Four Christmases,2008,PASS,86580505,130028810,130.02881,4.8677560412871355
Frost/Nixon,2008,FAIL,31385433,20153811,20.153811,3.00339340202323
Frozen River,2008,PASS,1082256,2718061,2.718061,0.9999187584498863
Gake no ue no Ponyo,2008,PASS,36796715,16331680,16.33168,2.7931067798291767
Ghost Town,2008,FAIL,21645126,14342754,14.342754,2.663244866941399
Gran Torino,2008,FAIL,27056408,160277075,160.277075,5.076904036287722
Hamlet 2,2008,PASS,9740307,5288138,5.288138,1.6654661990318644
Hancock,2008,FAIL,162338447,246696294,246.696294,5.508158001128191
Herb & Dorothy,2008,PASS,89286146,82236872,82.236872,4.40960376596405
High School Musical 3: Senior Year,2008,PASS,11904819,98008500,98.0085,4.585054209603213
Igor,2008,FAIL,32467689,21134953,21.134953,3.0509282102168958
In Bruges,2008,FAIL,16233845,8442492,8.442492,2.1332775256905214
Indiana Jones and the Kingdom of the Crystal Skull,2008,FAIL,200217418,343101064,343.101064,5.838025050996291
Inkheart,2008,PASS,64935379,18726740,18.72674,2.9299524489846567
Iron Man,2008,FAIL,201299674,344811326,344.811326,5.8429973862778954
Journey to the Center of the Earth,2008,FAIL,48701534,110070196,110.070196,4.701118307718733
Jumper,2008,FAIL,89286146,87844867,87.844867,4.475572383785477
Kung Fu Panda,2008,FAIL,140693320,233155446,233.155446,5.451705381334519
L&aring;t den r&auml;tte komma in (Let the Right One In),2008,FAIL,4870153,2296640,2.29664,0.8314471852595701
Made of Honor,2008,FAIL,43290252,49797572,49.797572,3.9079662278219622
Max Payne,2008,PASS,37878971,44034081,44.034081,3.7849639022769574
Meet Dave,2008,FAIL,64935379,12774146,12.774146,2.5474232845401845
Milk,2008,FAIL,21645126,34460447,34.460447,3.539812202576884
Miracle at St. Anna,2008,FAIL,48701534,8568101,8.568101,2.148046121124522
Nick and Norah's Infinite Playlist,2008,PASS,10822563,34077322,34.077322,3.528632119061353
Nim's Island,2008,PASS,40043484,51955621,51.955621,3.9503899118845105
Pineapple Express,2008,FAIL,28138664,94525760,94.52576,4.5488723899456796
Pontypool,2008,FAIL,1623384,4183,0.004183,-5.476726586522076
Possession,2008,PASS,27056408,10934736,10.934736,2.3919445111761126
Prom Night,2008,PASS,19480614,47477881,47.477880999999996,3.8602639394279423
Quantum of Solace,2008,FAIL,248918952,183300049,183.300049,5.211124422166955
Quarantine,2008,PASS,12987076,34298662,34.298662,3.5351063446646775
Rachel Getting Married,2008,PASS,12987076,13849484,13.849484,2.6282479756216244
Revolutionary Road,2008,PASS,48701534,24796094,24.796094,3.210686140766509
RocknRolla,2008,FAIL,19480614,6169538,6.169538,1.8196239566696815
Seven Pounds,2008,PASS,58441841,75705803,75.705803,4.326854815365313
Sex and the City,2008,PASS,62229738,165203458,165.203458,5.107177793071192
Slumdog Millionaire,2008,FAIL,15151588,152944384,152.944384,5.030074352041134
Speed Racer,2008,PASS,129870757,47560583,47.560583,3.8620043299476183
Step Brothers,2008,FAIL,70346660,108732985,108.732985,4.688895197957572
Sunshine Cleaning,2008,PASS,5411282,13054780,13.05478,2.5691543502281724
"Synecdoche, New York",2008,FAIL,21645126,3337178,3.337178,1.2051255396711822
Taken,2008,PASS,27056408,156928235,156.928235,5.055788598934555
The Bank Job,2008,PASS,21645126,32533339,32.533339,3.48226537893125
The Brothers Bloom,2008,FAIL,21645126,3822265,3.822265,1.34084317884097
The Chronicles of Narnia: Prince Caspian,2008,PASS,243507670,153270751,153.270751,5.03220597184875
The Curious Case of Benjamin Button,2008,FAIL,173161010,137997773,137.997773,4.927237547345832
The Dark Knight,2008,FAIL,200217418,577216380,577.21638,6.3582172048754355
The Day the Earth Stood Still,2008,PASS,86580505,85895413,85.895413,4.453130428262903
The Eye,2008,PASS,12987076,34003083,34.003083,3.526451196975887
The Forbidden Kingdom,2008,FAIL,59524097,56358790,56.35879,4.031738217672974
The House Bunny,2008,PASS,27056408,52205219,52.205219,3.9551824707337535
The Hurt Locker,2008,FAIL,16233845,18417633,18.417633,2.9133085209414546
The Incredible Hulk,2008,FAIL,148810243,145895632,145.895632,4.982891516766666
The Lucky Ones,2008,PASS,15151588,288927,0.288927,-1.241581217932944
The Other Boleyn Girl,2008,PASS,43290252,29020656,29.020656,3.3680078523004813
The Reader,2008,FAIL,35173330,37007113,37.007113,3.6111101374111034
The Secret Life of Bees,2008,PASS,11904819,40876996,40.876996,3.710567459829465
The Sisterhood of the Traveling Pants 2,2008,PASS,29220920,47716642,47.716642,3.8652802259356083
The Strangers,2008,FAIL,9740307,56924095,56.924095,4.041718713711877
The Tale of Despereaux,2008,PASS,64935379,55062111,55.062111,4.008461838972238
The Women,2008,PASS,17316101,29114940,29.11494,3.3712514444935544
The Wrestler,2008,FAIL,6493538,28396504,28.396504,3.3462660389983574
Transsiberian,2008,PASS,16233845,2384904,2.384904,0.8691588719578612
Tropic Thunder,2008,FAIL,97403068,119547447,119.547447,4.783713338594755
Twilight,2008,PASS,40043484,208626391,208.626391,5.34054504942532
Valkyrie,2008,FAIL,97403068,89911432,89.911432,4.498825096907997
Vicky Cristina Barcelona,2008,PASS,17316101,25126430,25.12643,3.223920280182504
WALL-E,2008,FAIL,194806136,242217798,242.217798,5.489837313142491
Waltz with Bashir,2008,FAIL,2164513,2471710,2.47171,0.904910218797771
Wanted,2008,FAIL,81169223,145572728,145.572728,4.980675810526002
"Welcome Home, Roscoe Jenkins",2008,FAIL,29762049,45927188,45.927188,3.8270572728623287
Wendy and Lucy,2008,PASS,324677,936904,0.936904,-0.06517445663502629
What Happens In Vegas,2008,PASS,37878971,86880989,86.880989,4.464539239638329
Yes Man,2008,FAIL,54112816,105726675,105.726675,4.66085722622194
1408,2007,PASS,25279728,80878983,80.878983,4.392954000449184
28 Weeks Later,2007,PASS,16853152,32177067,32.177067,3.4712539938429767
3:10 to Yuma,2007,FAIL,53930087,60229701,60.229701,4.098165602739805
30 Days of Night,2007,FAIL,33706305,44457488,44.457488,3.7945334067149314
88 Minutes,2007,FAIL,33706305,19022584,19.022584,2.945626904882158
Across the Universe,2007,PASS,50559457,27351175,27.351175,3.308759489553942
Atonement,2007,PASS,33706305,57278425,57.278425,4.047924025765974
Becoming Jane,2007,PASS,18538467,20969716,20.969716,3.0430793016652284
Beowulf,2007,PASS,168531522,92349898,92.349898,4.5255846021508654
Blades of Glory,2007,PASS,68536152,133246132,133.246132,4.89219803448204
Bridge to Terabithia,2007,PASS,28088587,92393631,92.393631,4.526058047700527
Brooklyn Rules,2007,PASS,8988348,514844,0.514844,-0.663891336827055
Charlie Bartlett,2007,FAIL,13482522,4438327,4.438327,1.490277503634695
Charlie Wilson's War,2007,PASS,84265761,74896639,74.896639,4.316109016352124
Death at a Funeral,2007,PASS,23594413,48019515,48.019515,3.8716074907837514
Diary of the Dead,2007,PASS,3089745,1070310,1.07031,0.06794832613935657
Disturbia,2007,PASS,22470870,90119077,90.119077,4.5011318736119055
Eastern Promises,2007,PASS,56177174,19303898,19.303898,2.960307044429782
Enchanted,2007,PASS,95501196,143484229,143.484229,4.966225126720936
Fantastic Four: Rise of the Silver Surfer,2007,FAIL,134825218,148219809,148.219809,4.998696367897366
Gone Baby Gone,2007,PASS,21347326,22808178,22.808178,3.127119155859118
Hairspray,2007,PASS,84265761,133557691,133.557691,4.8945335268158
Halloween,2007,PASS,16853152,65467925,65.467925,4.181560328045132
Hannibal Rising,2007,FAIL,56177174,31088139,31.088139,3.4368263638036782
Harry Potter and the Order of the Phoenix,2007,PASS,168531522,328080020,328.08002,5.793257542044543
Hitman,2007,FAIL,19662011,44590850,44.59085,3.7975286810277797
Hostel: Part II,2007,PASS,8426576,19712359,19.712359,2.9812457994417616
Hot Fuzz,2007,FAIL,17976696,26536733,26.536733,3.278529924115222
Hot Rod,2007,FAIL,28088587,15660322,15.660322,2.7511302522925147
I Am Legend,2007,PASS,168531522,288068696,288.068696,5.663198979470496
Into the Wild,2007,FAIL,22470870,20621917,20.621917,3.0263544422597985
Juno,2007,PASS,7864804,161223170,161.22317,5.082789554235031
Knocked Up,2007,PASS,30897446,167140312,167.140312,5.118833651270124
Lars and the real Girl,2007,PASS,14044294,6692364,6.692364,1.9009671749507548
Live Free or Die Hard,2007,FAIL,123589783,151149634,151.149634,5.0182702997868756
Michael Clayton,2007,FAIL,24156185,55091699,55.091699,4.00899905145198
Music and Lyrics,2007,FAIL,44941739,56820503,56.820503,4.039897228903578
No Country for Old Men,2007,FAIL,28088587,83449513,83.449513,4.424241814260977
No Reservations,2007,PASS,31459218,48433689,48.433689,3.880195625308556
Paranormal Activity,2007,FAIL,505595,121251476,121.251476,4.797866702939376
Persepolis,2007,PASS,8201867,4992356,4.992356,1.607907942626961
Pirates of the Caribbean: At World's End,2007,PASS,337063045,347647302,347.647302,5.851188465836069
Premonition,2007,PASS,22470870,53764481,53.764481,3.9846130446758385
Ratatouille,2007,FAIL,168531522,231950669,231.950669,5.446524715435887
Resident Evil: Extinction,2007,PASS,50559457,56905993,56.905993,4.041400660717793
Rush Hour 3,2007,FAIL,202237827,157437618,157.437618,5.059029303616319
Shooter,2007,FAIL,67412609,52810568,52.810568,3.966711322199725
Shrek the Third,2007,PASS,179766957,362589890,362.58989,5.893272415968445
St. Trinian's,2007,PASS,12808396,16853,0.016853,-4.083226596488254
Stardust,2007,PASS,78648044,43408033,43.408033,3.7706445161448165
Sunshine,2007,FAIL,44941739,4144258,4.144258,1.4217237617064489
Superbad,2007,FAIL,19662011,136469216,136.469216,4.9160990653811725
Sydney White,2007,PASS,18538467,13361645,13.361645,2.5923882892712933
Teeth,2007,FAIL,2247087,390519,0.390519,-0.9402786553162579
The Bucket List,2007,FAIL,50559457,105013679,105.013679,4.654090617862794
The Golden Compass,2007,PASS,230326414,78769081,78.769081,4.366520546768921
The Kite Runner,2007,FAIL,22470870,17752075,17.752075,2.8765024104974386
The Messengers,2007,PASS,17976696,39745163,39.745163,3.682488148161464
The Mist,2007,PASS,14606065,28755697,28.755697,3.3588359041346885
The Number 23,2007,FAIL,35953391,39541053,39.541053,3.677339448647349
The Savages,2007,PASS,10111891,7441321,7.441321,2.0070483868476376
The Signal,2007,FAIL,56177,282178,0.282178,-1.265217201496777
The Simpsons Movie,2007,PASS,81456903,205760152,205.760152,5.326711179773709
The Visitor,2007,FAIL,4494174,10591674,10.591674,2.3600682207753825
There Will Be Blood,2007,FAIL,28088587,45191743,45.191743,3.8109143931595613
TMNT,2007,FAIL,39324022,60838866,60.838866,4.108228828164129
Transformers,2007,FAIL,169655066,358686980,358.68698,5.882450086137612
Tropa de Elite,2007,PASS,7345604,9824,0.009824,-4.622926907577351
Waitress,2007,PASS,1685315,21456928,21.456928,3.0660475769090083
We Own the Night,2007,FAIL,31459218,32091974,32.091974,3.4686059677203223
300,2006,FAIL,69347781,243427977,243.427977,5.4948211164295575
A Scanner Darkly,2006,FAIL,23115927,6358748,6.358748,1.849831502627562
Akeelah and the Bee,2006,PASS,9246371,21784947,21.784947,3.0812192266997944
Aquamarine,2006,PASS,13869556,21494740,21.49474,3.0678082540388485
Black Christmas,2006,PASS,10402167,18765207,18.765207,2.932004463701201
Blood Diamond,2006,FAIL,115579635,66317186,66.317186,4.19444907928751
"Bon Cop, Bad Cop",2006,FAIL,9246371,14645442,14.645442,2.6841291607733906
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,FAIL,20804334,148526717,148.526717,5.000764854518361
Bug,2006,PASS,4623185,8098328,8.098328,2.0916576206178172
Cars,2006,FAIL,80905744,282110219,282.110219,5.642297842094849
Casino Royale,2006,FAIL,117891227,193439856,193.439856,5.264966642449332
Children of Men,2006,PASS,87840522,41091314,41.091314,3.7157967609676112
Clerks II,2006,FAIL,5778982,27910249,27.910249,3.328993969041935
Crank,2006,FAIL,13869556,32175530,32.17553,3.471206225762994
Das Leben Der Anderen,2006,FAIL,2311593,13042765,13.042765,2.56823357389853
DOA: Dead or Alive,2006,PASS,34673890,555145,0.555145,-0.5885259380972214
El laberinto del fauno (Pan's Labyrinth),2006,PASS,18492742,43497951,43.497951,3.7727138335369603
Eragon,2006,FAIL,115579635,86719588,86.719588,4.462679786757541
Fido,2006,FAIL,9246371,344554,0.344554,-1.0655044519007848
Final Destination 3,2006,PASS,28894909,62526330,62.52633,4.135587748028851
Flushed Away,2006,FAIL,172213656,74740347,74.740347,4.314020066808133
For Your Consideration,2006,PASS,13869556,6414581,6.414581,1.858573680268032
Friends with Money,2006,PASS,7512676,15451191,15.451191,2.737686087751316
Ice Age: The Meltdown,2006,FAIL,86684726,225762418,225.762418,5.419483198536162
Idlewild,2006,PASS,17336945,14643840,14.64384,2.6840197692217918
Inside Man,2006,FAIL,57789817,102443127,102.443127,4.629307786050915
Jackass Number Two,2006,FAIL,12713760,84117369,84.117369,4.432213073597868
